Inst_salud;Domicilio;Otro;Sin_informacion;total;Ano;id_regimen_Regimen;id_area_Area_Regimen
2039;9;0;0;2048;2017;con;12
240;0;0;0;240;2017;con;10
3136;2;0;0;3138;2017;con;13
5538;8;3;0;5549;2017;con;5
5;0;0;0;5;2017;con;18
133;0;0;0;133;2017;con;16
68475;96;22;0;68593;2017;con;6
4501;3;0;0;4504;2018;con;21
1409;5;0;0;1414;2018;con;4
870;4;1;0;875;2018;con;15
2925;3;2;0;2930;2018;con;14
2908;8;0;0;2916;2018;con;22
1493;0;1;0;1494;2018;con;20
6189;9;6;0;6204;2018;con;3
9070;8;5;0;9083;2018;con;9
3001;4;2;0;3007;2018;con;8
6435;6;5;0;6446;2018;con;7
9971;15;5;0;9991;2018;con;17
1077;6;0;0;1083;2018;con;2
976;3;0;0;979;2018;con;19
649;0;0;0;649;2018;con;11
672;1;1;0;674;2018;con;1
1837;2;0;0;1839;2018;con;12
186;2;0;0;188;2018;con;10
3068;9;2;0;3079;2018;con;13
5289;10;3;0;5302;2018;con;5
9;0;0;0;9;2018;con;18
193;0;0;0;193;2018;con;16
62728;98;33;0;62859;2018;con;6
157;0;0;0;157;2008;esp;21
54;0;0;0;54;2008;esp;4
47;0;0;0;47;2008;esp;15
156;0;0;0;156;2008;esp;14
106;0;0;0;106;2008;esp;22
151;0;1;0;152;2008;esp;20
220;2;0;0;222;2008;esp;3
546;2;1;0;549;2008;esp;9
178;0;0;0;178;2008;esp;8
330;0;0;0;330;2008;esp;7
402;1;0;0;403;2008;esp;17
40;0;0;0;40;2008;esp;2
67;0;0;0;67;2008;esp;19
47;0;0;0;47;2008;esp;11
37;0;0;0;37;2008;esp;1
136;0;0;0;136;2008;esp;12
8;0;0;0;8;2008;esp;10
193;0;0;0;193;2008;esp;13
184;0;0;0;184;2008;esp;5
0;0;0;0;0;2008;esp;18
31;1;0;0;32;2008;esp;16
3090;6;2;0;3098;2008;esp;6
192;0;0;0;192;2009;esp;21
45;0;0;0;45;2009;esp;4
46;0;0;0;46;2009;esp;15
149;0;0;0;149;2009;esp;14
127;1;0;0;128;2009;esp;22
166;0;0;0;166;2009;esp;20
220;0;0;0;220;2009;esp;3
512;0;0;0;512;2009;esp;9
196;1;0;0;197;2009;esp;8
377;1;0;0;378;2009;esp;7
427;0;0;0;427;2009;esp;17
44;1;0;0;45;2009;esp;2
74;0;1;0;75;2009;esp;19
44;0;0;0;44;2009;esp;11
32;0;0;0;32;2009;esp;1
124;0;0;0;124;2009;esp;12
5;0;0;0;5;2009;esp;10
151;0;0;0;151;2009;esp;13
186;0;0;0;186;2009;esp;5
0;0;0;0;0;2009;esp;18
30;0;0;0;30;2009;esp;16
3147;4;1;0;3152;2009;esp;6
189;0;1;0;190;2010;esp;21
52;0;0;0;52;2010;esp;4
48;0;0;0;48;2010;esp;15
172;0;0;0;172;2010;esp;14
134;0;0;0;134;2010;esp;22
167;0;0;0;167;2010;esp;20
228;0;0;0;228;2010;esp;3
518;0;0;0;518;2010;esp;9
174;0;1;0;175;2010;esp;8
389;1;0;0;390;2010;esp;7
424;1;0;0;425;2010;esp;17
44;1;0;0;45;2010;esp;2
57;0;0;0;57;2010;esp;19
52;0;0;0;52;2010;esp;11
37;1;0;0;38;2010;esp;1
138;0;0;0;138;2010;esp;12
17;0;0;0;17;2010;esp;10
184;0;0;0;184;2010;esp;13
193;0;0;0;193;2010;esp;5
0;0;0;0;0;2010;esp;18
5;0;0;0;5;2010;esp;16
3222;4;2;0;3228;2010;esp;6
214;3;0;0;217;2011;esp;21
49;1;0;0;50;2011;esp;4
27;0;0;0;27;2011;esp;15
178;0;0;0;178;2011;esp;14
136;0;0;0;136;2011;esp;22
151;0;0;0;151;2011;esp;20
229;1;0;0;230;2011;esp;3
567;0;0;0;567;2011;esp;9
173;0;0;0;173;2011;esp;8
401;0;0;0;401;2011;esp;7
419;1;0;0;420;2011;esp;17
48;0;0;0;48;2011;esp;2
52;0;0;0;52;2011;esp;19
40;0;0;0;40;2011;esp;11
39;0;0;0;39;2011;esp;1
137;0;0;0;137;2011;esp;12
10;0;0;0;10;2011;esp;10
185;0;0;0;185;2011;esp;13
231;0;0;0;231;2011;esp;5
0;0;0;0;0;2011;esp;18
6;0;0;0;6;2011;esp;16
3292;6;0;0;3298;2011;esp;6
173;0;0;0;173;2012;esp;21
68;0;0;0;68;2012;esp;4
35;0;0;0;35;2012;esp;15
192;0;0;0;192;2012;esp;14
123;0;0;0;123;2012;esp;22
120;0;0;0;120;2012;esp;20
208;1;0;0;209;2012;esp;3
570;1;0;0;571;2012;esp;9
177;0;0;0;177;2012;esp;8
357;0;0;0;357;2012;esp;7
379;0;0;0;379;2012;esp;17
58;0;0;0;58;2012;esp;2
68;0;0;0;68;2012;esp;19
49;0;0;0;49;2012;esp;11
36;0;0;0;36;2012;esp;1
136;0;0;0;136;2012;esp;12
14;0;0;0;14;2012;esp;10
155;0;0;0;155;2012;esp;13
204;0;0;0;204;2012;esp;5
0;0;0;0;0;2012;esp;18
3;0;0;0;3;2012;esp;16
3125;2;0;0;3127;2012;esp;6
192;0;0;0;192;2013;esp;21
71;0;0;0;71;2013;esp;4
56;0;0;0;56;2013;esp;15
144;1;0;0;145;2013;esp;14
133;0;2;0;135;2013;esp;22
116;0;0;0;116;2013;esp;20
219;0;0;0;219;2013;esp;3
520;0;0;0;520;2013;esp;9
188;1;0;0;189;2013;esp;8
379;0;0;0;379;2013;esp;7
416;0;0;0;416;2013;esp;17
55;0;0;0;55;2013;esp;2
64;0;0;0;64;2013;esp;19
51;0;0;0;51;2013;esp;11
41;0;0;0;41;2013;esp;1
133;0;0;0;133;2013;esp;12
11;0;0;0;11;2013;esp;10
209;0;0;0;209;2013;esp;13
186;1;0;0;187;2013;esp;5
1;0;0;0;1;2013;esp;18
0;0;0;0;0;2013;esp;16
3185;3;2;0;3190;2013;esp;6
154;0;0;0;154;2014;esp;21
52;0;0;0;52;2014;esp;4
67;0;0;0;67;2014;esp;15
