cesarea;espontaneo;instrumentado;sin_informacion;total ;ano;id_regimen_regimen;id_area_area_regimen
64;186;1;0;251;2017;sub;11
60;147;4;0;211;2018;sub;11
309;468;41;3;821;2008;con;11
332;426;31;5;794;2009;con;11
335;433;23;2;793;2010;con;11
330;395;29;1;755;2011;con;11
352;409;26;0;787;2012;con;11
350;370;21;0;741;2013;con;11
340;422;14;0;776;2014;con;11
335;405;26;0;766;2015;con;11
342;375;21;0;738;2016;con;11
322;366;15;0;703;2017;con;11
315;321;13;0;649;2018;con;11
26;15;5;1;47;2008;esp;11
15;23;3;3;44;2009;esp;11
22;28;2;0;52;2010;esp;11
13;24;3;0;40;2011;esp;11
22;20;7;0;49;2012;esp;11
20;27;4;0;51;2013;esp;11
24;33;2;0;59;2014;esp;11
5;21;0;0;26;2015;esp;11
23;19;0;0;42;2016;esp;11
19;17;1;0;37;2017;esp;11
21;17;1;0;39;2018;esp;11
113;219;7;1;340;2008;nas;11
86;184;2;3;275;2009;nas;11
51;122;3;0;176;2010;nas;11
49;94;3;0;146;2011;nas;11
40;112;1;0;153;2012;nas;11
40;94;5;0;139;2013;nas;11
27;95;2;0;124;2014;nas;11
24;53;2;0;79;2015;nas;11
16;42;1;0;59;2016;nas;11
19;31;0;0;50;2017;nas;11
56;121;4;0;181;2018;nas;11
107;157;11;1;276;2008;sub;12
85;188;8;0;281;2009;sub;12
68;161;3;0;232;2010;sub;12
87;209;8;0;304;2011;sub;12
79;176;5;0;260;2012;sub;12
115;216;6;0;337;2013;sub;12
110;251;4;0;365;2014;sub;12
107;223;6;0;336;2015;sub;12
90;146;7;1;244;2016;sub;12
78;154;5;0;237;2017;sub;12
94;151;4;0;249;2018;sub;12
1152;1643;145;18;2958;2008;con;12
1055;1430;140;18;2643;2009;con;12
1046;1327;135;1;2509;2010;con;12
1100;1303;99;3;2505;2011;con;12
1090;1262;103;0;2455;2012;con;12
1132;1237;59;0;2428;2013;con;12
1156;1325;89;0;2570;2014;con;12
1111;1354;92;0;2557;2015;con;12
1118;1247;69;0;2434;2016;con;12
906;1081;61;0;2048;2017;con;12
827;970;42;0;1839;2018;con;12
45;79;11;1;136;2008;esp;12
55;57;12;0;124;2009;esp;12
62;67;9;0;138;2010;esp;12
50;76;11;0;137;2011;esp;12
58;66;12;0;136;2012;esp;12
64;64;5;0;133;2013;esp;12
54;55;6;0;115;2014;esp;12
52;64;3;0;119;2015;esp;12
48;63;6;0;117;2016;esp;12
49;58;4;0;111;2017;esp;12
52;54;8;0;114;2018;esp;12
117;242;10;1;370;2008;nas;12
120;267;8;0;395;2009;nas;12
85;177;1;0;263;2010;nas;12
70;152;4;0;226;2011;nas;12
59;127;4;1;191;2012;nas;12
64;112;5;0;181;2013;nas;12
55;72;6;0;133;2014;nas;12
35;36;1;0;72;2015;nas;12
24;29;1;0;54;2016;nas;12
16;18;1;0;35;2017;nas;12
33;47;1;0;81;2018;nas;12
690;1389;50;6;2135;2008;sub;13
590;1199;29;6;1824;2009;sub;13
600;1277;35;0;1912;2010;sub;13
551;1153;36;0;1740;2011;sub;13
509;1064;24;0;1597;2012;sub;13
494;1050;34;0;1578;2013;sub;13
474;977;41;1;1493;2014;sub;13
488;937;34;0;1459;2015;sub;13
418;882;24;0;1324;2016;sub;13
369;869;21;0;1259;2017;sub;13
351;773;16;0;1140;2018;sub;13
1266;2087;146;27;3526;2008;con;13
1340;1978;141;14;3473;2009;con;13
1285;1901;151;2;3339;2010;con;13
1397;1880;108;2;3387;2011;con;13
1382;1918;121;0;3421;2012;con;13
1471;1816;98;0;3385;2013;con;13
1384;1968;86;0;3438;2014;con;13
1463;1971;76;0;3510;2015;con;13
1655;2029;60;0;3744;2016;con;13
1285;1786;67;0;3138;2017;con;13
1287;1722;70;0;3079;2018;con;13
77;100;14;2;193;2008;esp;13
48;84;17;2;151;2009;esp;13
82;90;11;1;184;2010;esp;13
64;105;16;0;185;2011;esp;13
60;85;10;0;155;2012;esp;13
85;112;12;0;209;2013;esp;13
70;81;11;0;162;2014;esp;13
70;76;6;0;152;2015;esp;13
70;65;5;0;140;2016;esp;13
65;55;6;0;126;2017;esp;13
46;51;1;0;98;2018;esp;13
381;801;38;0;1220;2008;nas;13
433;844;23;3;1303;2009;nas;13
212;550;8;0;770;2010;nas;13
216;428;8;0;652;2011;nas;13
210;383;11;0;604;2012;nas;13
205;407;13;0;625;2013;nas;13
133;270;8;0;411;2014;nas;13
79;173;6;0;258;2015;nas;13
57;115;2;0;174;2016;nas;13
51;102;10;0;163;2017;nas;13
117;191;11;0;319;2018;nas;13
865;1693;48;5;2611;2008;sub;14
874;1741;65;4;2684;2009;sub;14
849;1758;59;0;2666;2010;sub;14
813;1620;42;0;2475;2011;sub;14
732;1406;45;1;2184;2012;sub;14
670;1308;42;0;2020;2013;sub;14
695;1413;71;0;2179;2014;sub;14
606;1216;45;0;1867;2015;sub;14
526;1109;46;0;1681;2016;sub;14
434;1034;20;0;1488;2017;sub;14
373;960;35;0;1368;2018;sub;14
1333;2220;138;20;3711;2008;con;14
1411;2157;128;11;3707;2009;con;14
1398;2174;136;5;3713;2010;con;14
1348;2067;125;0;3540;2011;con;14
1340;1999;109;0;3448;2012;con;14
1493;1850;93;0;3436;2013;con;14
1377;2062;81;0;3520;2014;con;14
1581;2118;71;0;3770;2015;con;14
1548;2142;59;0;3749;2016;con;14
1393;1927;74;0;3394;2017;con;14
1184;1702;44;0;2930;2018;con;14
52;92;11;1;156;2008;esp;14
54;79;11;5;149;2009;esp;14
54;98;18;2;172;2010;esp;14
70;98;10;0;178;2011;esp;14
75;104;13;0;192;2012;esp;14
67;72;6;0;145;2013;esp;14
51;93;11;0;155;2014;esp;14
69;78;5;0;152;2015;esp;14
59;75;5;0;139;2016;esp;14
58;69;6;0;133;2017;esp;14
32;41;2;0;75;2018;esp;14
318;780;21;2;1121;2008;nas;14
368;814;31;2;1215;2009;nas;14
242;566;16;1;825;2010;nas;14
240;460;15;0;715;2011;nas;14
210;433;24;0;667;2012;nas;14
155;358;15;0;528;2013;nas;14
158;273;11;0;442;2014;nas;14
81;155;3;0;239;2015;nas;14
85;130;4;0;219;2016;nas;14
60;136;2;0;198;2017;nas;14
104;208;8;0;320;2018;nas;14
223;490;20;2;735;2008;sub;15
181;450;19;0;650;2009;sub;15
184;442;19;0;645;2010;sub;15
186;379;11;1;577;2011;sub;15
195;450;9;0;654;2012;sub;15
177;391;11;0;579;2013;sub;15
149;359;12;0;520;2014;sub;15
159;342;12;0;513;2015;sub;15
117;310;10;0;437;2016;sub;15
126;322;7;0;455;2017;sub;15
113;320;10;0;443;2018;sub;15
339;532;51;5;927;2008;con;15
360;436;30;8;834;2009;con;15
307;429;43;1;780;2010;con;15
318;384;32;0;734;2011;con;15
342;421;38;0;801;2012;con;15
381;459;21;0;861;2013;con;15
